
campaigncutscene_tooltip 				(Fai clic per avviare il prossimo capitolo della storia)
epilogue_outro_7						Noi cerchiamo di fornire a questi uomini delle competenze di base e, soprattutto, la speranza di un futuro migliore.
epilogue_outro_7b  						Cerchiamo di fare in modo che, una volta fuori da queste mura, possano reintegrarsi nella società.
epilogue_outro_8						I cittadini comuni non ricevono una formazione gratuita, un'educazione gratuita e la certezza di un lavoro retribuito.
epilogue_outro_8b 						Tutto ciò è un insulto alle vittime di questi delinquenti.
epilogue_outro_8c 						Non ha senso spendere somme tanto considerevoli solo perché questi criminali possano sentirsi utili in qualche modo.
epilogue_outro_9						Aiutando queste persone a riabilitarsi, possiamo fare davvero la differenza.
epilogue_outro_10						Questi uomini non si sono guadagnati la libertà.
epilogue_outro_11						Per quante volte tu dica a un gatto di lasciare stare gli uccelli in giardino, stai pur certo che continuerà a dar loro la caccia.
epilogue_outro_12 						È nella sua natura.

epilogue_sandbox_1                      Lascia che mi congratuli con te per la tua nomina ad amministratore delegato: si tratta di una grande opportunità. Un nuovo inizio.
epilogue_sandbox_2                      Avrai completa autonomia, ma sappi che questo incarico comporterà un maggior numero di detenuti da gestire e tassi di recidività più elevati. Non sarà certo una passeggiata.
epilogue_sandbox_3						Per quanto riguarda il braccio della morte, spetta a te decidere se distruggerlo o continuare a servirtene. Se non te ne occuperai personalmente, qualcun altro lo farà al posto tuo.
epilogue_sandbox_4						I parametri in base ai quali verrà valutato il tuo operato saranno i seguenti: profitto, tasso di recidività e capacità.
epilogue_sandbox_5 						Fai del tuo meglio per ottenere dei risultati soddisfacenti sotto ogni punto di vista.
epilogue_sandbox_5b                     Un'ultima cosa: il tuo predecessore, Charles Wallace, ha lasciato una lettera che soleva consegnare a tutti i nuovi architetti carcerari.
epilogue_sandbox_5c                     Contiene dei consigli interessanti: può darsi che valga la pena di darci un'occhiata.
epilogue_sandbox_6						Buona fortuna!

objective_epilogue_grants				Ottieni del denaro tramite sovvenzioni
objective_epilogue_grants_description   Le sovvenzioni costituiscono uno degli strumenti di base per procurarsi le ingenti somme di denaro necessarie alla costruzione di una prigione.\n\nPuoi visualizzare un elenco delle varie sovvenzioni nella sezione Resoconti (in basso a destra). Varie agenzie stanzieranno fondi volti alla costruzione di determinate aree della tua prigione.

objective_epilogue_certifiedprison		Costruisci una prigione
objective_epilogue_capacity				Accogli almeno 100 detenuti
objective_epilogue_bankbalance			Saldo bancario pari ad almeno $100.000
objective_epilogue_cashflow				Flusso di cassa positivo

epilogue_outrointro_1                   Vedo che hai iniziato con il piede giusto.
epilogue_outrointro_2                   Se ti trovi vicino a un televisore, prova ad accenderlo: voglio mostrarti una cosa.

epilogue_basiccompletion_1 				Ora la tua prigione soddisfa tutti i requisiti di base previsti dalla legge. Da adesso in poi, ogni singola decisione spetterà a te.
epilogue_basiccompletion_2 				Ora sarete solamente tu e la tua azienda a decidere in che modo procedere.
epilogue_basiccompletion_3 				Nell'ufficio del sindaco, c'è solamente un numero che conta: quello che indica il tasso di recidività.
epilogue_basiccompletion_4	 			Se riuscirai a ridurre il tasso di recidività dei tuoi detenuti, io lo considererò un successo.
epilogue_basiccompletion_5 				Il dottor Hurst è convinto che tale obiettivo possa essere raggiunto solamente tramite programmi di educazione e riabilitazione.
epilogue_basiccompletion_6 				Francamente, io ritengo che la repressione sia un metodo altrettanto valido.
epilogue_basiccompletion_8 				Ora è tutto nelle tue mani. Ti auguro buona fortuna!

objective_epilogue_reoffending			(OPZIONALE) Riduci il tasso di recidività dei detenuti
objective_epilogue_reoffending_description	Puoi visualizzare il tasso di recidività nella schermata Valutazione prigione: fai clic sull'icona corrispondente in alto a sinistra.

objective_epilogue_reoffending_rate		Riduci il tasso di recidività  a una percentuale massima del 30%.
objective_epilogue_reoffending_released	Fai in modo che almeno 10 detenuti vengano scarcerati


# =============================================================================
# MCExporter
# =============================================================================


codex_mcexport                          Export di Prison per Minecraft
codex_mcexportname						Minecraft Exporter
codex_worldnametitle					Nome mondo
codex_seedtitle							Seme
codex_gamemodetitle						Modalità di gioco
codex_mapfeattitle						Caratteristiche mappa
codex_cheatstitle						Cheat
codex_timeofdaytitle					Orario
codex_rainingtitle						Pioggia
codex_thunderingtitle					Tempesta
codex_generatortitle					Generatore
codex_scaletitle						Scala
codex_exporttomc						Esporta
codex_mcexport_default					Predefinito
codex_mcexport_flat						Piatto
codex_mcexport_largebiomes				Biomi più grandi
codex_mcexport_survival					Sopravvivenza
codex_mcexport_creative					Creatività
codex_mcexport_adventure				Avventura


# =============================================================================
# Escape Mode
# =============================================================================

escapemode_help_title                   Evadi: è la tua unica via d'uscita
escapemode_help                         Prima fase: reputazione. Qui dentro, la reputazione è tutto.\n\n• Fatti una reputazione generando il caos. Facendo del male alle altre persone ti farai conoscere sul serio, ma distruggere i vari oggetti è già un buon punto di partenza. Quando prendi parte a una rissa, tenta di infliggere più danni possibili.\n• Non lasciare testimoni. Se una guardia ti sorprende a fare a pugni, ti denuncerà e farà in modo che ti venga inflitta una punizione… ma solo se tu glielo permetterai.\n• Finire al tappeto non gioverà certo alla tua reputazione: quando prendi parte a una rissa, vedi di farti rispettare.\n\nSeconda fase: gioco di squadra. Trova dei compagni disposti ad assecondarti nel tuo tentativo di fuga.\n\n• Per fare in modo che ti seguano nei tuoi spostamenti, richiamali con un fischio (fai clic sul loro nome in alto a sinistra).\n• Inoltre, i tuoi compagni ti assisteranno durante le risse, il che ti consentirà di farti una reputazione più rapidamente.\n• Addestra la tua squadra. Fa sempre comodo avere al proprio fianco un abile combattente o un rapido corridore.\n\nTerza fase: contrabbando. Avrai bisogno di armi e strumenti vari.\n\n• Trova una stanza che contenga degli oggetti che potrebbero tornarti utili e prendi quello di cui hai bisogno.\n• Presta attenzione ai metal detector e alle guardie: se troveranno la refurtiva, ti sbatteranno in una cella di isolamento.\n• Nascondi l'attrezzatura. Puoi riporre i vari oggetti nella tua cella o in quella di un altro detenuto: l'importante è che ti ricordi dove li hai lasciati.\n\nQuarta fase: tunnel, una via di fuga discreta e silenziosa.\n\n• Procurati un attrezzo adatto e comincia a scavare un tunnel vicino al gabinetto.\n• Scavare richiede tempo: chiedi aiuto agli altri membri della tua squadra.\n• Non farti scoprire: se una guardia ti sorprende mentre entri o esci da un tunnel, sei in guai grossi.\n\nBuona fortuna: ne avrai bisogno.

codex_escapemode                        Modalità fuga
codex_escapemode_developer              (Sviluppatore) Tentativo di fuga
codex_escapemode_new                    Nuovo tentativo di fuga
codex_escapemode_load                   Carica tentativo di fuga
codex_escapemode_save                   Salva tentativo di fuga
codex_escapemode_workshop               Modalità di fuga (Steam Workshop)
codex_escapemode_workshop_star_rating   *S o più stelle

escapemode_combat_attack                Attacca
escapemode_combat_attack_button         Clic sinistro
escapemode_combat_lunge                 Balza
escapemode_combat_lunge_button          Maiusc
escapemode_dig_button                   Tieni premuto pulsante sinistro
escapemode_dig                          Scava
escapemode_surrender                    Arrenditi
escapemode_surrender_safe               Termina combattimento
escapemode_surrender_button             Spazio

escapemode_gameover                     Hai perso

escapemode_reputation_points            Punti reputazione:
escapemode_reputations_cost             *C punti reputazione
escapemode_reputations_max              MASSIMO

escapesquad_squad_member                Membro della squadra
escapesquad_recruitment                 Tieni premuto il pulsante destro per reclutare
escapesquad_recruitment_cost            Costo punti reputazione: *C
escapesquad_toggle_follow               Segui sì/no
escapesquad_nameplate_following         Segui
escapesquad_skip_punishments            Salta punizioni
escapesquad_skip_punishments_tooltip    Utilizza un punto reputazione per non assistere alle punizioni di tutti i membri della tua squadra.
escapesquad_sleep                       Dormi
escapesquad_sleep_tooltip               Fai clic per andare a dormire.
escapesquad_reputations                 Reputazione
escapesquad_reputations_tooltip         Utilizza i punti reputazione per accrescere le abilità di combattimento della tua squadra.
escapesquad_follow_mode                 Modalità Segui
escapesquad_follow_mode_tooltip         I prigionieri in modalità Segui ti seguiranno e riprodurranno ogni tua azione.\n\nUsa il tasto R per attivare o disattivare questa modalità per tutti i prigionieri.
escapesquad_remove_member               Rimuovi membro della squadra
escapesquad_remove_member_tooltip       Fai clic per rimuovere questo detenuto dalla tua squadra.
escapesquad_escaped                     Fuggito

escapemode_info_right_click             Clic destro
escapemode_info_hold_right_click        Tieni premuto il pulsante destro
escapemode_info_stash                   per nascondere la merce di contrabbando
escapemode_info_pick_up                 per raccogliere la merce di contrabbando
escapemode_info_start_tunnel            per iniziare a scavare un tunnel
escapemode_info_enter_tunnel            per entrare nel tunnel
escapemode_info_exit_tunnel             per uscire dal tunnel
escapemode_info_dig_up                  per dissotterrare
escapemode_info_steal                   per rubare

escapemode_info_tool                    [Attrezzo per scavare]
escapemode_info_damage                  Danno: *D
escapemode_info_recharge                Tempo di ricarica: *T

escapemode_gameover                     Hai perso
escapemode_gameover_squad_title         Squadra
escapemode_gameover_casualties_title    Vittime
escapemode_gameover_totalscore_title    Punteggio totale
escapemode_gameover_totaltime_title     Tempo impiegato
escapemode_gameover_time_days           *D giorni, *H ore e *M minuti
escapemode_gameover_time                *H ore e *M minuti

codex_workshop_select_random_prison     Attività casuale
codex_workshop_searching                Ricerca


# =============================================================================
# Collectables
# =============================================================================


codex_gamebible                         Bibbia di gioco
codex_gamebible_next                    >
codex_gamebible_prev                    <
codex_gamebible_singlepage              Pagina *X
codex_gamebible_doublepage              Pagine *X-*Y
object_collectable                      Pagina di quaderno

