
campaigncutscene_tooltip 				(Klicken, um das nächste Kapitel der Geschichte auszulösen)
objective_conviction_work_produceplates			(OPTIONAL) Stellen Sie 100 Nummernschilder her!
objective_conviction_work_exportszone			Weisen Sie in der Nähe der Straße eine Auslieferungszone zu!
objective_conviction_work_setintake             Setzen Sie Häftlingseinlieferung auf Stufe 10!

objective_conviction_unlocklabour_description	Das Fenster "Bürokratie" finden Sie, wenn Sie das Symbol über der Aufgabenliste anklicken.
objective_conviction_work_kitchen_description	 Um Häftlinge der Küche zuzuweisen, gehen Sie erst zu "Logistik" und dann zu "Gefängnisarbeit".\n\nNb. Ihre Häftlinge müssen den Kurs "Sicherheit und Hygiene in der Küche" absolviert haben, um in der Küche arbeiten zu dürfen.
objective_conviction_work_assignworkshop_description 	Um Häftlinge der Werkstatt zuzuweisen, gehen Sie erst zu "Logistik" und dann zu "Gefängnisarbeit".\n\nIhre Häftlinge müssen die Einführung "Sicherheit in der Werkstatt" absolviert haben, um in der Werkstatt arbeiten zu dürfen.
objective_conviction_work_trainkitchen_description 		Um Ausbildungs- und Besserungsprogramme durchzuführen, gehen Sie erst zu "Berichte" (rechts unten) und dann zu "Programme". Die Häftlinge besuchen diese Programme in den ihnen zugewiesenen Arbeitszeiten.\n\nNb Sie müssen in der Tagesordnung mindestens zwei Stunden Arbeitszeit zuweisen, sonst haben die Häftlinge nicht genug Zeit, um teilzunehmen.
objective_conviction_work_trainworkshop_description 	Um Ausbildungs- und Besserungsprogramme durchzuführen, gehen Sie erst zu "Berichte" (rechts unten) und dann zu "Programme". Die Häftlinge besuchen diese Programme in den ihnen zugewiesenen Arbeitszeiten.\n\nNb Sie müssen in der Tagesordnung mindestens zwei Stunden Arbeitszeit zuweisen, sonst haben die Häftlinge nicht genug Zeit, um teilzunehmen.
objective_conviction_work_setintake_description         Damit Ihr Gefängnis nicht überfüllt wird, gehen Sie erst zu "Berichte" (rechts unten) und dann zu "Einlieferung" und stellen Sie die Einlieferungsstufe mithilfe der <<-Schaltfläche auf 10 herab.

objective_conviction_visitation				Sorgen Sie für einen besseren Besuchsdienst!
objective_conviction_visitationroom	Bauen Sie einen neuen Besuchertrakt!
objective_conviction_visitationcount		Ermöglichen Sie 20 Familienbesuche von Häftlingen!
objective_conviction_telephones	 			Bauen Sie auf allen Höfen Telefone!
objective_conviction_mailroom				Bauen Sie einen Postraum!
objective_conviction_mailroomwork			Weisen Sie Häftlinge der Arbeit im Postraum zu!

objective_conviction_mailroomwork_description           Um Häftlinge dem Postraum zuzuweisen, gehen Sie erst zu "Logistik" und dann zu "Gefängnisarbeit".

objective_conviction_education				Beginnen Sie damit, Ihre Häftlinge auszubilden!
objective_conviction_unlockeducation		Genehmigen Sie über die Bürokratie "Bildung".
objective_conviction_education_classroom	Bauen Sie ein Klassenzimmer!
objective_conviction_education_class 		Veranstalten Sie eine Klasse in "Grundlagenbildung"!
objective_conviction_education_learn		(OPTIONAL) Lassen Sie 5 Häftlinge die Klasse "Grundlagenbildung" absolvieren!
objective_conviction_education_library		Bauen Sie eine Bücherei!
objective_conviction_education_librarywork	Weisen Sie Häftlinge der Arbeit in der Bücherei zu!
objective_conviction_education_chapel		Bauen Sie eine Kapelle!
objective_conviction_education_spiritual	Veranstalten Sie eine Klasse "Geistige Führung"!

objective_conviction_expandcapacity100			Erweitern Sie die Kapazität des Gefängnisses!
objective_conviction_expandcapacity_cells100	Erweitern Sie das Gefängnis auf 80 Zellen!
objective_conviction_expandcapacity_cells200	(OPTIONAL) Erweitern Sie das Gefängnis auf 120 Zellen!

objective_Conviction_PlayerExitsMap         Klicken Sie das Polaroid in Morgans Zelle an, wenn Sie fertig sind.

 
# =============================================================================
# Epilogue
# =============================================================================

campaignchapter_epilogue                Aus der Patsche
campaigncutscene_epilogueintro          Noch einmal zurück
campaigncutscene_epilogueoutro          Epilog

campaignchapter_epilogue_description    Ein historisches Gefängnis soll abgerissen und ersetzt werden. Errichten Sie mithilfe Ihrer erlernten Fähigkeiten das ultimative Gefängnis.

adviser_name_reporter 					Reporter

epilogue_newsintro1 					Heute in CNDC News: Ein Sonderbericht über die Zustände in unseren Gefängnissen.
epilogue_newsintro2 					Es ist inzwischen zwei Jahre her, dass die "Belagerung von Alchemico" so viele Leben forderte, darunter auch das von Geschäfstsführer Charles Wallace.
epilogue_newsintro4 					Heute erfahren wir von führenden Experten, ob isch seit jenen tragischen Ereignissen etwas geändert hat.
epilogue_newsintro5 					Als Erstes schalten wir live in eines der ältesten Gefängnisse des Staates, das vor Kurzem zum Abriss freigegeben wurde.
epilogue_newsintro6						Jetzt live, nur auf CNDC News.

epilogue_reporter1						Danke Sarah. Dieses Gefängnis hat einige der berüchtigsten Verbrecher des gesamten Landes beherbergt.
epilogue_reporter2 						Doch nun werden seine Mauern niedergerissen, um von einem neuen Gefängniskomplex ersetzt zu werden.
epilogue_reporter3 						Hinter mir sehen Sie, dass die Baumannschaften bereits eingetroffen sind und die Abrissarbeiten begonnen haben.
epilogue_reporter4 						Bei mir ist der Bürgermeister der Stadt, Calvin Heller. Vielen Dank, Mr. Heller, dass Sie sich die Zeit nehmen, mit uns zu sprechen. 
epilogue_reporter5 						Ist mir ein Vergnügen.

epilogue_reporter6 						In der Vergangenheit waren Sie ein entschlossener Fürsprecher einer härteren, disziplinierten Gangart in Gefängnissen.
epilogue_reporter6b 					Warum reißen Sie jetzt eine Anstalt ab, die so lange für diesen harten Weg stand?
epilogue_reporter7 						Das Gefängnis selbst und sein Betrieb sind inzwischen veraltet.
epilogue_reporter8 						Wir haben uns entschlossen, es durch eine komplett neue Anstalt zu ersetzen. Eine mit modernen Richtlinien.
epilogue_reporter9						Dieses Gefängnis war vor ein paar Jahren in den Nachrichten als eine der letzten Hinrichtungsstätten des Staates.
epilogue_reporter10 					Es gibt Organisationen, die schon seit langem Kampagnen gegen die gesetzliche Todesstrafe führen. Werden Sie deren Wünschen entgegenkommen oder wird es auch einen neuen Hinrichtungstrakt geben?
epilogue_reporter12 					Das wird noch geprüft. Aber wir machen uns diese Entscheidung nicht leicht.

epilogue_reporterend1 					Vielen Dank, Bürgermeister Heller. Zurück ins Studio.
epilogue_newstransition1 				Hier sind die CNDC News, live zum Zustand unseres Strafsystems.
epilogue_newstransition2 				Nach der Pause wird sich uns Doktor Walter Hurst anschließen, ein Spezialist für Häftlingspsychologie und Rehabilitation.

epilogue_parole1 						Immer noch nichts? Wie lange dauert das schon?
epilogue_parole2						Ich kann's nicht mehr zählen. Keine Anrufe. Keine Briefe.
epilogue_parole3 						Tut mir leid, Morgan. Das muss weh tun. Aber du hast eine Chance bekommen. Vermassel sie nicht.
epilogue_parole4 						Henry. Viel Glück.
epilogue_parole5 						Versuch nicht, denen das zu erzählen, von dem du glaubst, dass sie es hören wollen.
epilogue_parole6 						Ich muss los. Ich bin in einer Minute live auf Sendung.
epilogue_parole7                        Bürgermeister Heller, wie lautet Ihre Meinung?
epilogue_parole10 						Das war schnell!
epilogue_parole11 						Und?
epilogue_parole12                       ...

epilogue_outro_1 						Willkommen zurück zu dieser Sonderausgabe von CNDC News, live mit Bürgermeister Calvin Heller.
epilogue_outro_2 						Zu uns kommt nun Doktor Walter Hurst, dem man vorwirft, große Geldsummen für Gefängnisreformen verschwendet zu haben.
epilogue_outro_2b 						Dr. Hurst, glauben Sie, dass Sie erfolgreich waren?
epilogue_outro_3						Erfolgreich? Nein. Nicht im Allgemeinen.
epilogue_outro_4						Ich glaube, jeder hat das Potenzial zu Verbesserungen. Und wir müssen allen diese Chance bieten.
epilogue_outro_4b 						Ich kann mit absoluter Überzeugung sagen, dass ich eine wirkliche Verbesserung der Haltung und der Hoffnungen vieler der hier eingesperrten erlebt habe.
epilogue_outro_5						Die Haft sollte abschreckende Wirkung haben. Sie sollte keine Gelegenheit zur Weiterentwicklung oder auf Veränderung bieten.
epilogue_outro_6 						Durch Bestrafung und Entmenschlichung während der Haft erreichen wir nur, dass die Bereitschaft zu kriminellem Verhalten verstärkt wird.

epilogue_outro_7						Wir geben diesen Männern wichtige Fähigkeiten und, was noch viel wichtiger ist, Hoffnung mit auf den Weg.
epilogue_outro_7b  						Wir helfen ihnen dabei, sich wieder in die Gesellschaft einzufügen und nach Haftende einen Beitrag zu leisten.
epilogue_outro_8						Einfache Bürger erhalten keine kostenlose Ausbildung. Kostenlose Bildung. Oder eine Garantie auf bezahlte Arbeit.
epilogue_outro_8b 						Wir lassen die Opfer von Verbrechen im Stich und belohnen die Täter.
epilogue_outro_8c 						Wir geben gewaltige Summen aus, nur damit sich diese Kriminellen wohlfühlen.
epilogue_outro_9						Wir können etwas ändern, auch wenn wir uns dazu immer nur ein Individuum zur Zeit vornehmen.
epilogue_outro_10						Diese Männer haben sich ihre Freiheiten nicht verdient. Ihre Freiräume.
epilogue_outro_11						Sie können einer Katze hundertmal sagen, dass sie die Vögel in ihrem Garten in Ruhe lassen soll. Sie wird es trotzdem nicht lassen.
epilogue_outro_12 						Das ist ihre Natur.

epilogue_sandbox_1                      Ich möchte Ihnen zu Ihrer Berufung zum Geschäftsführer gratulieren. Das ist eine Chance. Ein Neustart.
epilogue_sandbox_2                      Sie haben komplette Handlungsfreiheit, mehr oder weniger. Mehr Gefangene. Höhere Rückfallquoten. Vor Ihnen liegen viele Herausforderungen.
epilogue_sandbox_3						Was den Todestrakt angeht, reißen Sie ihn ab. Oder behalten Sie ihn und benutzen Sie ihn. Es liegt ganz bei Ihnen. Wenn Sie nicht wollen, übernimmt jemand anderes diese Aufgabe.
epilogue_sandbox_4						Was die Ziele angeht, so gebe ich Ihnen dieselben wie Ihrem Vorgänger. Gewinn, Rückfallquoten, Kapazität.
epilogue_sandbox_5 						Wie Sie das erreichen, liegt in Ihrem Verantwortungsbereich.
epilogue_sandbox_5b                     Ein Letztes noch. Der vorherige  Geschäftsführer Charles Wallace hat einen Brief hinterlassen, den er allen neuen Gefängnisarchitekten zukommen ließ.
epilogue_sandbox_5c                     Darin sind einige gute Ratschläge. Könnte sich lohnen, einen Blick reinzuwerfen.
epilogue_sandbox_6						Viel Erfolg!

objective_epilogue_grants				Beschaffen Sie über das Zuschusssystem Geld!
objective_epilogue_grants_description   Zuschüsse sind eine der Hauptmethoden, um die gewaltigen Geldsummen aufzubringen, die für einen Gefängnisbau benötigt werden.\n\nUnter "Berichte" (rechts unten) finden Sie unter "Zuschüsse" eine ganze Reihe von verschiedenen Zuschüssen. Diverse Agenturen bieten Ihnen Geldmittel zum Bau bestimmter Teile Ihres Gefängnisses an.

objective_epilogue_certifiedprison		Bauen Sie ein Gefängnis!
objective_epilogue_capacity				Mindestens 100 Insassen
objective_epilogue_bankbalance			Kontostand mindestens 100.000 $
objective_epilogue_cashflow				Positiver Netto-Cashflow

epilogue_outrointro_1                   Sie legen einen guten Start hin.
epilogue_outrointro_2                   Wenn Sie einen Fernseher in der Nähe haben, sollten Sie ihn einschalten. Da läuft gerade etwas, das Sie sehen sollten.

epilogue_basiccompletion_1 				Sie haben die Mindestanforderungen für ein Staatsgefängnis erfüllt. Wie Sie jetzt weitermachen, liegt ganz bei Ihnen.
epilogue_basiccompletion_2 				Von diesem Zeitpunkt an liegt es nur bei Ihnen und Ihrem Unternehmen, wie sie weitermachen wollen.
epilogue_basiccompletion_3 				Im Büro des Bürgermeisters interessiert uns nur eine einzige Zahl, und das ist die Rückfallquote.
epilogue_basiccompletion_4	 			Wenn Sie die Rückfallquote Ihrer Häftlinge senken könnten, wäre das ein großer Erfolg.
epilogue_basiccompletion_5 				Leute wie Doktor Hurst glauben, dass man das nur durch Bildung, Besserungsprogramme, Berufsausbildung und solchen Kram erreichen kann.
epilogue_basiccompletion_6 				Meiner Meinung nach, ist Bestrafung genauso effektiv.
epilogue_basiccompletion_8 				Es liegt ganz an Ihnen. Ich wünsche Ihnen viel Erfolg!

objective_epilogue_reoffending			(OPTIONAL) Senken Sie die Rückfallquote des Gefängnisses!
objective_epilogue_reoffending_description	Die Rückfallquote sehen Sie im Fenster "Gefängniswertung". Klicken Sie das Symbol links oben an.

objective_epilogue_reoffending_rate		Senken Sie die Rückfallquote auf höchstens 30%!
objective_epilogue_reoffending_released	Sorgen Sie dafür, dass mindestens 10 Häftlinge entlassen werden!


# =============================================================================
# MCExporter
# =============================================================================


codex_mcexport                          Gefängnis für Minecraft exportieren
codex_mcexportname						Minecraft-Exportierer
codex_worldnametitle					Weltname
codex_seedtitle							Seed
codex_gamemodetitle						Spielmodus
codex_mapfeattitle						Kartenmerkmale
codex_cheatstitle						Cheats
codex_timeofdaytitle					Tageszeit
codex_rainingtitle						Regen
codex_thunderingtitle					Donner
codex_generatortitle					Generator
codex_scaletitle						Maßstab
codex_exporttomc						Exportieren
codex_mcexport_default					Standard
codex_mcexport_flat						Flach
codex_mcexport_largebiomes				Große Biome
codex_mcexport_survival					Überleben
codex_mcexport_creative					Kreativ
codex_mcexport_adventure				Abenteuer


# =============================================================================
# Escape Mode
# =============================================================================

escapemode_help_title                   Ausbruch - der einzige Weg in die Freiheit
escapemode_help                         Erster Schritt: Ruf - Ihr Ruf bedeutet hier drinnen alles.\n\n• Steigern Sie Ihren Ruf, indem Sie Prügeleien anzetteln. Wenn Sie jemandem weh tun, zieht das zu viel Aufmerksamkeit auf sich, aber das Zerstören von Dingen ist ein guter Anfang. Je mehr Schaden Sie in einer Prügelei anrichten, desto besser.\n•Es darf keine Zeugen geben. Wenn eine Wache Sie bei einer Prügelei erwischt, werden Sie bestraft, es sei denn natürlich, es sind keine mehr da.\n•K.o- geschlagen zu werden sieht nicht gut aus. Beenden Sie Prügeleien besser als Sieger.\n\nZweiter Schritt: Schließen Sie sich zu einem Trupp zusammen - Finden Sie Mitstreiter für Ihren Fluchtversuch.\n\n• Pfeifen Sie sie herbei, dann werden sie Ihnen überallhin folgen. (Klicken Sie den jeweiligen Namen links oben an).)\n• Sie unterstützen Sie sogar in Prügeleien, was Ihnen dabei hilft, Ihren Ruf noch schneller zu steigern.)\n• Trainieren Sie Ihre Männer. Man kann nie wissen, wann man mal einen geübten Kämpfer oder einen flinken Sprinter gebrauchen kann.\n\nDritter Schritt: Schmuggelware - Dafür brauchen Sie Waffen und Werkzeuge.\n\n• Suchen Sie sich einen Raum, in dem es etwas gibt, das Sie haben wollen. Sehen Sie sich um, dann werden Sie schnell etwas finden, was Sie klauen können.\n• Nehmen Sie sich vor Metalldetektoren und Wachen in acht, die Sie durchsuchen wollen. Findet man bei Ihnen etwas, kommen Sie in Einzelhaft.\n• Verstecken Sie Ihre Ausrüstung. Sie können Ihre Fundsachen in Ihrer Zelle oder in anderen Zellen verstecken, aber merken Sie sich, wo Sie sie hingetan haben.\n\nVierter Schritt: Tunnel - der lautlose Weg in die Freiheit.\n\n• Greifen Sie sich ein Grabwerkzeug und beginnen Sie mit dem Tunnelbau von der Toilette in Ihrer Zelle aus.\n• Graben geht langsam voran. Lassen Sie sich von Ihren Leuten helfen.\n• Lassen Sie sich nicht erwischen. Wenn eine Wache Sie beim Betreten oder Verlassen eines Tunnels entdeckt, war's das.\n\nViel Glück. Sie werden es brauchen.

codex_escapemode                        Ausbruchmodus
codex_escapemode_developer              (Entwickler) Ausbruchmodus
codex_escapemode_new                    Neuer Ausbruchversuch
codex_escapemode_load                   Ausbruchversuch laden
codex_escapemode_save                   Ausbruchversuch speichern
codex_escapemode_workshop               Ausbruchmodus (Steam Workshop)
codex_escapemode_workshop_star_rating   *S Stars oder mehr

escapemode_combat_attack                Angreifen
escapemode_combat_attack_button         Linksklick
escapemode_combat_lunge                 Ausholen
escapemode_combat_lunge_button          Shift
escapemode_dig_button                   Linke Maustaste gedrückt halten
escapemode_dig                          Graben
escapemode_surrender                    Aufgeben
escapemode_surrender_safe               Prügelei beenden
escapemode_surrender_button             Leertaste

escapemode_gameover                     Spielende

escapemode_reputation_points            Rufpunkte:
escapemode_reputations_cost             *C Rufpunkte
escapemode_reputations_max              MAX

escapesquad_squad_member                Truppmitglied
escapesquad_recruitment                 Rechte Maustaste zum Rekrutieren gedrückt halten
escapesquad_recruitment_cost            Rufpunktkosten: *C
escapesquad_toggle_follow               Folgen umschalten
escapesquad_nameplate_following         Folgt
escapesquad_skip_punishments            Bestrafungen überspringen
escapesquad_skip_punishments_tooltip    Geben Sie einen Rufpunkt aus, um all Ihre Männer die Bestrafung verschlafen und sie danach in ihren Zellen wieder aufwachen zu lassen.
escapesquad_sleep                       Schlafen
escapesquad_sleep_tooltip               Klicken, um die Nacht über zu schlafen.
escapesquad_reputations                 Renommee
escapesquad_reputations_tooltip         Geben Sie Rufpunkte für Renommee aus, um die Kampffähigkeit Ihres Trupps zu verbessern. 
escapesquad_follow_mode                 Folgemodus
escapesquad_follow_mode_tooltip         Häftlinge im Folgemodus folgen Ihnen und kopieren Ihr Fehlverhalten.\n\nSchalten Sie mit "R" den Folgemodus für alle Häftlinge auf einmal um.
escapesquad_remove_member               Truppmitglied entfernen
escapesquad_remove_member_tooltip       Klicken Sie, um diesen Häftling aus Ihrem Trupp zu entfernen.
escapesquad_escaped                     Geflohen

escapemode_info_right_click             Rechtsklick
escapemode_info_hold_right_click        Rechte Maustaste gedrückt halten
escapemode_info_stash                   , um Schmuggelware zu verstecken
escapemode_info_pick_up                 , um Schmuggelware zu nehmen
escapemode_info_start_tunnel            , um einen Tunnel zu graben
escapemode_info_enter_tunnel            , um einen Tunnel zu betreten
escapemode_info_exit_tunnel             , um einen Tunnel zu verlassen
escapemode_info_dig_up                  zum Ausgraben
escapemode_info_steal                   zum Klauen

escapemode_info_tool                    [Grabwerkzeug]
escapemode_info_damage                  Schaden: *D 
escapemode_info_recharge                Wiederaufladedauer: *T

escapemode_gameover                     Spielende
escapemode_gameover_squad_title         Trupp
escapemode_gameover_casualties_title    Opfer
escapemode_gameover_totalscore_title    Gesamtpunktzahl
escapemode_gameover_totaltime_title     Benötigte Zeit
escapemode_gameover_time_days           *D Tage, *H Stunden und *M Minuten
escapemode_gameover_time                *H Stunden und *M Minuten

codex_workshop_select_random_prison     Zufälliges Workshop-Gefängnis
codex_workshop_searching                Suchen


# =============================================================================
# Collectables
# =============================================================================


codex_gamebible                         Spielbibel
codex_gamebible_next                    >
codex_gamebible_prev                    <
codex_gamebible_singlepage              Seite *X
codex_gamebible_doublepage              Seiten *X-*Y
object_collectable                      Notebook-Seite

