
campaigncutscene_tooltip 				(Cliquer pour déclencher le chapitre suivant de l'histoire)
epilogue_sandbox_2                      Vous disposerez d'une autonomie complète. Plus ou moins. Davantage de prisonniers. Aux taux de récidive plus élevés. De nombreux défis vous attendent.
epilogue_sandbox_3						Quant à l'infrastructure d'exécution, démolissez-la. Ou gardez-la et utilisez-la. C'est vraiment à vous de décider. Si vous ne souhaitez pas vous occuper de cette question, quelqu'un d'autre le fera.
epilogue_sandbox_4						Pour vos objectifs, vous aurez les mêmes que ceux de votre prédécesseur. Profits, taux de récidive et capacité.
epilogue_sandbox_5 						Vous avez toute latitude sur les moyens de les atteindre.
epilogue_sandbox_5b                     Une dernière chose. Le PDG précédent, Charles Wallace, a laissé derrière lui une lettre à faire lire à tous les architectes de prisons à venir dans la firme.
epilogue_sandbox_5c                     Il y laisse quelques précieux conseils. Lisez-la donc, vous la trouverez peut-être utile.
epilogue_sandbox_6						Bonne chance !

objective_epilogue_grants				Faire rentrer de l'argent par le système de subventions
objective_epilogue_grants_description   Les subventions sont l'une des principales manières de faire rentrer les grandes sommes d'argent nécessaires à la construction d'une prison.\n\nVous trouverez toute une gamme de subventions dans la partie Rapports (en bas à droite de l'écran), sous Subventions. Différents organismes vous offriront les fonds nécessaires à la construction des différents éléments de votre prison.

objective_epilogue_certifiedprison		Construire une prison
objective_epilogue_capacity				Avoir au moins 100 prisonniers
objective_epilogue_bankbalance			Disposer d'un solde bancaire d'au moins $100 000
objective_epilogue_cashflow				Disposer d'un flux de trésorerie positif

epilogue_outrointro_1                   Je constate que vous avez déjà pris un très bon départ.
epilogue_outrointro_2                   Si vous êtes près d'une télévision, veuillez l'allumer. J'aimerais que vous voyiez quelque chose.

epilogue_basiccompletion_1 				Vous avez atteint le minimum requis pour une prison d'état. Ce que vous allez faire à présent ne dépend que de vous.
epilogue_basiccompletion_2 				C'est maintenant à vous de décider quoi faire, et comment.
epilogue_basiccompletion_3 				Un seul chiffre nous intéresse à la mairie. Et c'est le taux de récidive.
epilogue_basiccompletion_4	 			Si vous parvenez à réduire le taux de récidive de vos prisonniers, j'appellerai ça une réussite.
epilogue_basiccompletion_5 				Les gens comme le docteur Hurst pensent que seules la formation, l'éducation et la réhabilitation vous y feront parvenir. 
epilogue_basiccompletion_6 				Mais moi je pense que les sanctions feront tout aussi bien l'affaire.
epilogue_basiccompletion_8 				C'est à vous de voir. Je vous souhaite bonne chance !

objective_epilogue_reoffending			(OPTIONNEL) Réduire le taux de récidive de vos prisonniers
objective_epilogue_reoffending_description	Vous pouvez voir le taux de récidive de votre prison à l'écran « Évaluation de la prison ».

objective_epilogue_reoffending_rate		Réduire le taux de récidive à un maximum de 30 %
objective_epilogue_reoffending_released	Disposer d'au moins 10 prisonniers libérés


# =============================================================================
# MCExporter
# =============================================================================


codex_mcexport                          Exporter Prison sur Minecraft
codex_mcexportname						Exporteur sur Minecraft
codex_worldnametitle					Nom du monde
codex_seedtitle							Graine aléatoire
codex_gamemodetitle						Mode de jeu
codex_mapfeattitle						Fonctions de la carte
codex_cheatstitle						Codes
codex_timeofdaytitle					Heure du jour
codex_rainingtitle						Pluie
codex_thunderingtitle					Tonnerre
codex_generatortitle					Générateur
codex_scaletitle						Échelle
codex_exporttomc						Exporter
codex_mcexport_default					Par défaut
codex_mcexport_flat						Plat
codex_mcexport_largebiomes				Grands biomes
codex_mcexport_survival					Survie
codex_mcexport_creative					Créatif
codex_mcexport_adventure				Aventure


# =============================================================================
# Escape Mode
# =============================================================================

escapemode_help_title                   Évadez-vous ! C'est votre seule chance d'en sortir !
escapemode_help                         Première étape : réputation – votre réputation est à peu près tout ce qui compte ici\n\n• Améliorez votre réputation en initiant des combats. Vous vous ferez très certainement remarquer en blessant des personnes, mais vous pouvez aussi commencer en cassant des choses. Plus vous ferez de dégâts en cours de combat et mieux ce sera.\n• Ne laissez pas de témoins. Si un gardien vous surprend en train de vous battre, vous serez sanctionné, à moins bien sûr qu’il ne soit plus là pour se plaindre.\n• Se faire tabasser ne fait jamais bonne impression. Essayez de faire pencher la balance de votre côté.\n\nSeconde étape : escouade – recrutez d’autres prisonniers pour votre tentative d’évasion\n\n• Sifflez pour les appeler et ils vous suivront partout où vous irez (cliquez sur leur nom en haut à gauche).\n• Ils se rangeront également à vos côtés pour combattre, ce qui vous aidera à améliorer votre réputation encore plus vite.\n• Entraînez votre escouade. Un bon combattant ou un coureur rapide pourront peut-être s’avérer utiles.\n\nÉtape trois : contrebande – il vous faudra des armes et des outils\n\n• Découvrez où vous pourrez trouver des choses utiles. Examinez l’endroit et vous trouverez vite quelque chose d’intéressant à voler.\n• Attention aux détecteurs de métal et aux gardiens effectuant des fouilles. S’ils découvrent quoi que ce soit, vous serez placé en isolement.\n• Dissimulez votre matériel. Vous pouvez cacher vos trouvailles dans votre cellule ou dans celles des autres détenus, souvenez-vous simplement où vous laissez les choses.\n\nÉtape quatre : tunnels – il paraît qu’il y a de la lumière au bout\n\n• Équipez-vous d’un outil et commencez à creuser un tunnel à partir des toilettes de votre cellule.\n• La progression est lente. Faites-vous aider par les membres de votre escouade.\n• Ne vous faites pas repérer. Si un gardien vous voit entrer dans un tunnel ou en sortir, vous serez grillé.\n\nBonne chance, vous allez en avoir besoin !

codex_escapemode                        Mode évasion
codex_escapemode_developer              (Développeur) Mode évasion
codex_escapemode_new                    Nouvelle tentative d'évasion
codex_escapemode_load                   Charger tentative d'évasion
codex_escapemode_save                   Sauvegarder tentative d'évasion
codex_escapemode_workshop               Mode évasion (Steam Workshop)
codex_escapemode_workshop_star_rating   *S étoiles ou plus

escapemode_combat_attack                Attaquer
escapemode_combat_attack_button         Clic gauche
escapemode_combat_lunge                 Fente
escapemode_combat_lunge_button          Maj
escapemode_dig_button                   Maintenir BGS
escapemode_dig                          Creuser
escapemode_surrender                    Se rendre
escapemode_surrender_safe               Arrêter le combat
escapemode_surrender_button             Espace

escapemode_gameover                     Partie terminée

escapemode_reputation_points            Points de rép :
escapemode_reputations_cost             *C points de rép
escapemode_reputations_max              MAX

escapesquad_squad_member                Membre d'escouade
escapesquad_recruitment                 Maintenir le bouton droit pour recruter
escapesquad_recruitment_cost            Coût en points de rép : *C
escapesquad_toggle_follow               Basculer suivi
escapesquad_nameplate_following         Suit
escapesquad_skip_punishments            Passer sanctions
escapesquad_skip_punishments_tooltip    Dépensez un point de réputation pour que tous les membres de votre escouade passent leurs sanctions à dormir et se réveillent dans leurs cellules.
escapesquad_sleep                       Dormir
escapesquad_sleep_tooltip               Cliquez pour passer la nuit en dormant.
escapesquad_reputations                 Réputations
escapesquad_reputations_tooltip         Dépensez des points de rép en réputations pour améliorer les capacités de combat de votre escouade.
escapesquad_follow_mode                 Mode suivi
escapesquad_follow_mode_tooltip         Les prisonniers en mode suivi vous suivront et reproduiront votre mauvaise conduite.\n\nBasculez le mode suivi pour tous les prisonniers à la fois avec R.
escapesquad_remove_member               Supprimer membre d'escouade
escapesquad_remove_member_tooltip       Cliquez pour supprimer ce prisonnier de votre escouade.
escapesquad_escaped                     Évadé

escapemode_info_right_click             Clic droit
escapemode_info_hold_right_click        Maintenir bouton droit
escapemode_info_stash                   pour planquer de la contrebande
escapemode_info_pick_up                 pour ramasser de la contrebande
escapemode_info_start_tunnel            pour commencer un tunnel
escapemode_info_enter_tunnel            pour entrer dans un tunnel
escapemode_info_exit_tunnel             pour quitter un tunnel
escapemode_info_dig_up                  pour creuser
escapemode_info_steal                   pour voler

escapemode_info_tool                    [Outil de creusement]
escapemode_info_damage                  Dégâts : *D
escapemode_info_recharge                Temps de recharge : *T

escapemode_gameover                     Partie terminée
escapemode_gameover_squad_title         Escouade
escapemode_gameover_casualties_title    Victimes
escapemode_gameover_totalscore_title    Score total
escapemode_gameover_totaltime_title     Temps pris
escapemode_gameover_time_days           *D jours, *H heures et *M minutes
escapemode_gameover_time                *H heures et *M minutes

codex_workshop_select_random_prison     Prison aléatoire de Steam Workshop
codex_workshop_searching                Recherche


# =============================================================================
# Collectables
# =============================================================================


codex_gamebible                         Bible de jeu
codex_gamebible_next                    >
codex_gamebible_prev                    <
codex_gamebible_singlepage              Page *X
codex_gamebible_doublepage              Pages *X-*Y
object_collectable                      Page de carnet
